iter	Passed	Remaining
0	149	149314
1	150	75155
2	151	50485
3	153	38205
4	154	30747
5	155	25778
6	156	22240
7	157	19577
8	158	17500
9	159	15837
10	161	14477
11	161	13331
12	162	12348
13	163	11501
14	163	10765
15	164	10121
16	165	9553
17	165	9048
18	166	8604
19	167	8204
20	168	7839
21	168	7506
22	169	7202
23	170	6921
24	170	6662
25	171	6423
26	172	6203
27	172	5998
28	173	5808
29	174	5629
30	174	5462
31	175	5304
32	176	5158
33	176	5019
34	177	4889
35	177	4765
36	178	4649
37	179	4538
38	179	4433
39	180	4336
40	181	4247
41	182	4160
42	183	4074
43	183	3991
44	184	3911
45	184	3836
46	185	3764
47	186	3695
48	187	3629
49	187	3565
50	188	3504
51	188	3445
52	189	3388
53	190	3333
54	190	3280
55	191	3229
56	192	3180
57	192	3132
58	193	3086
59	194	3041
60	194	2998
61	195	2959
62	196	2922
63	197	2884
64	197	2848
65	198	2811
66	199	2775
67	199	2740
68	200	2707
69	201	2674
70	201	2642
71	202	2611
72	203	2582
73	204	2552
74	204	2523
75	205	2495
76	205	2468
77	206	2441
78	207	2415
79	207	2389
80	208	2364
81	209	2341
82	209	2315
83	210	2293
84	211	2273
85	212	2253
86	212	2232
87	213	2211
88	214	2191
89	214	2172
90	215	2154
91	216	2134
92	216	2116
93	217	2097
94	218	2079
95	218	2061
96	219	2043
97	220	2025
98	220	2008
99	221	1992
100	221	1975
101	222	1959
102	223	1944
103	223	1929
104	224	1914
105	225	1900
106	226	1888
107	226	1874
108	227	1860
109	228	1846
110	228	1833
111	229	1820
112	230	1807
113	230	1794
114	231	1782
115	232	1769
116	232	1756
117	233	1744
118	234	1732
119	234	1720
120	235	1709
121	235	1696
122	236	1685
123	237	1674
124	237	1663
125	238	1653
126	238	1641
127	239	1631
128	240	1622
129	241	1613
130	241	1603
131	242	1594
132	243	1584
133	243	1575
134	244	1565
135	244	1556
136	245	1547
137	246	1538
138	246	1529
139	247	1520
140	248	1512
141	248	1502
142	249	1493
143	249	1485
144	250	1478
145	251	1470
146	252	1462
147	252	1454
148	253	1446
149	254	1439
150	254	1432
151	255	1426
152	256	1419
153	256	1411
154	257	1404
155	258	1397
156	258	1390
157	259	1383
158	260	1376
159	260	1369
160	261	1361
161	261	1354
162	262	1347
163	263	1341
164	263	1334
165	264	1328
166	265	1322
167	265	1316
168	266	1310
169	267	1304
170	267	1298
171	268	1292
172	269	1286
173	269	1281
174	270	1276
175	271	1270
176	272	1265
177	272	1259
178	273	1253
179	274	1248
180	274	1243
181	275	1237
182	276	1232
183	276	1226
184	277	1221
185	277	1216
186	278	1210
187	279	1205
188	279	1200
189	280	1195
190	281	1190
191	281	1185
192	282	1180
193	282	1175
194	283	1170
195	284	1166
196	285	1162
197	285	1157
198	286	1153
199	287	1148
200	287	1143
201	288	1139
202	289	1134
203	289	1130
204	290	1125
205	291	1121
206	291	1117
207	292	1112
208	292	1108
209	293	1104
210	294	1099
211	294	1095
212	295	1091
213	296	1087
214	296	1083
215	297	1079
216	298	1075
217	298	1071
218	299	1067
219	300	1064
220	300	1060
221	301	1057
222	302	1053
223	302	1049
224	303	1045
225	304	1041
226	304	1037
227	305	1033
228	306	1030
229	306	1026
230	307	1023
231	307	1019
232	308	1015
233	309	1012
234	309	1008
235	310	1005
236	311	1002
237	311	998
238	312	995
239	313	991
240	313	988
241	314	985
242	315	982
243	316	979
244	316	976
245	317	973
246	318	970
247	319	968
248	319	965
249	320	961
250	321	958
251	321	955
252	322	952
253	323	949
254	323	945
255	324	942
256	325	939
257	325	936
258	326	933
259	326	930
260	327	927
261	328	924
262	328	921
263	329	918
264	330	916
265	331	913
266	331	910
267	332	907
268	332	904
269	333	902
270	334	899
271	334	896
272	335	893
273	336	890
274	336	888
275	337	885
276	338	882
277	338	879
278	339	877
279	340	874
280	340	872
281	341	869
282	342	866
283	342	864
284	343	861
285	344	858
286	344	856
287	345	855
288	346	852
289	347	850
290	347	847
291	348	845
292	349	842
293	349	840
294	350	837
295	351	835
296	351	832
297	352	830
298	353	828
299	353	825
300	354	823
301	355	820
302	355	818
303	356	815
304	356	813
305	357	811
306	358	808
307	359	806
308	359	804
309	360	802
310	361	800
311	362	798
312	362	796
313	363	793
314	363	791
